,reportedCity,dateOfLoss,elevatedBuildingIndicator,floodZone,latitude,longitude,lowestFloodElevation,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,yearofLoss,reportedZipcode,id
17331,HOUSTON,2017-08-29T00:00:00.000Z,False,X,29.7,-95.6,,0.0,0.0,2017-01-01T00:00:00.000Z,77072,5e398da174cbd479fc8d99bc
17332,HOUSTON,2017-08-27T00:00:00.000Z,False,AE,29.7,-95.4,53.0,1946.44,12800.0,2017-01-01T00:00:00.000Z,77025,5e398da174cbd479fc8d99cb
17333,HOUSTON,2016-04-18T00:00:00.000Z,False,X,29.9,-95.5,,32859.46,7382.78,2016-01-01T00:00:00.000Z,77088,5e398da174cbd479fc8d99ce
17334,HOUSTON,2017-08-27T00:00:00.000Z,False,AE,29.8,-95.5,,78754.29,,2017-01-01T00:00:00.000Z,77018,5e398da174cbd479fc8d99d0
17335,HOUSTON,2015-05-26T00:00:00.000Z,False,X,29.8,-95.5,,50675.85,0.0,2015-01-01T00:00:00.000Z,77024,5e398da174cbd479fc8d99d6
17336,HOUSTON,2015-04-15T00:00:00.000Z,False,AE,29.6,-95.2,,2937.17,0.0,2015-01-01T00:00:00.000Z,77089,5e398da174cbd479fc8d99e1
17337,HOUSTON,2017-08-26T00:00:00.000Z,False,AE,29.6,-95.2,,85178.24,4000.0,2017-01-01T00:00:00.000Z,77089,5e398da174cbd479fc8d99e2
17338,HOUSTON,2017-08-26T00:00:00.000Z,False,AH,29.6,-95.2,,61682.09,16014.66,2017-01-01T00:00:00.000Z,77034,5e398da174cbd479fc8d99e3
17339,HOUSTON,2015-05-25T00:00:00.000Z,False,AE,29.7,-95.5,,,0.0,2015-01-01T00:00:00.000Z,77096,5e398da174cbd479fc8d99e4
17340,HOUSTON,2017-08-26T00:00:00.000Z,False,AE,29.7,-95.6,,0.0,0.0,2017-01-01T00:00:00.000Z,77072,5e398da174cbd479fc8d99ec
17341,HOUSTON,2010-06-25T00:00:00.000Z,False,B,29.7,-95.5,,0.0,0.0,2010-01-01T00:00:00.000Z,77096,5e398da174cbd479fc8d99ee
17342,HOUSTON,2017-08-28T00:00:00.000Z,False,X,29.8,-95.5,,250000.0,100000.0,2017-01-01T00:00:00.000Z,77063,5e398da174cbd479fc8d99f0
17343,HOUSTON,2017-08-29T00:00:00.000Z,False,X,29.8,-95.6,,0.0,0.0,2017-01-01T00:00:00.000Z,77041,5e398da174cbd479fc8d9a09
17344,HOUSTON,2017-08-26T00:00:00.000Z,False,X,29.9,-95.3,,3954.17,0.0,2017-01-01T00:00:00.000Z,77050,5e398da174cbd479fc8d9a16
17345,HOUSTON,2017-08-28T00:00:00.000Z,False,X,29.8,-95.6,,11180.94,0.0,2017-01-01T00:00:00.000Z,77077,5e398da174cbd479fc8d9a52
17346,HOUSTON,2015-05-26T00:00:00.000Z,False,X,29.8,-95.5,,10592.05,0.0,2015-01-01T00:00:00.000Z,77080,5e398da174cbd479fc8d9a55
17347,HOUSTON,2017-08-29T00:00:00.000Z,True,X,29.7,-95.5,,0.0,,2017-01-01T00:00:00.000Z,77035,5e398da174cbd479fc8d9a70
17348,HOUSTON,2017-08-27T00:00:00.000Z,False,AE,29.9,-95.5,,52685.58,6301.9,2017-01-01T00:00:00.000Z,77088,5e398da174cbd479fc8d9a71
17349,HOUSTON,2016-04-18T00:00:00.000Z,False,AE,30.0,-95.5,,54116.73,12000.0,2016-01-01T00:00:00.000Z,77068,5e398da174cbd479fc8d9a72
